actionable_rank,page_reference,review_priority_score,model_score,feature_impressions,feature_clicks,feature_ctr,feature_avg_position,feature_position_volatility,feature_active_days,feature_available_days,position_band,archetype,action_label,reason_code,confidence_level,confidence_note,review_cost_tier,estimated_review_minutes,human_review_required
4455,REVIEW-04455,60.63,0.49154711429973225,2535.0,8.0,0.003155818540433925,3.218837143520668,1.0181669495847177,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4456,REVIEW-04456,60.62,0.6004281785442801,1171.0,0.0,0.0,2.169155872334876,0.767033262694862,15,15,Top 3,HIGH_RISK_STABLE_VISIBILITY,REFRESH_AND_PROTECT,HIGH_RISK_STABLE_PAGE_1,MEDIUM,High measured risk with stable Page-1 visibility.,MEDIUM,75,True
4457,REVIEW-04457,60.62,0.5793216331526037,1332.0,1.0,0.0007507507507507507,2.2866394041003115,0.9470908319941814,15,15,Top 3,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4458,REVIEW-04458,60.62,0.49079646165038004,2547.0,10.0,0.0039261876717707105,5.818207861913854,1.253125638160832,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4459,REVIEW-04459,60.61,0.6098655891696991,1106.0,1.0,0.0009041591320072332,7.423111293112802,1.5917220730572634,15,15,Page 1,HIGH_RISK_STABLE_VISIBILITY,REFRESH_AND_PROTECT,HIGH_RISK_STABLE_PAGE_1,MEDIUM,High measured risk with stable Page-1 visibility.,MEDIUM,75,True
4460,REVIEW-04460,60.61,0.5843666577716243,1290.0,2.0,0.0015503875968992248,6.632668229932444,1.7347954308537932,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4461,REVIEW-04461,60.61,0.5417336061568713,1706.0,3.0,0.0017584994138335288,3.3525882083006118,1.0805037774571713,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4462,REVIEW-04462,60.61,0.5178550775726164,2037.0,5.0,0.002454590083456063,1.5622714185423612,1.1001941784545344,15,15,Top 3,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4463,REVIEW-04463,60.61,0.47725719468295336,2893.0,13.0,0.004493605254061528,5.8515023131188135,1.7450273295284966,15,15,Page 1,BORDERLINE_RISK,MONITOR,BORDERLINE_MEASURED_RISK,LOW,Collect more evidence before action.,LOW,10,True
4464,REVIEW-04464,60.6,0.6037587711352989,1148.0,1.0,0.0008710801393728223,4.803762751981596,2.802602880710101,15,15,Page 1,HIGH_RISK_OTHER,MANUAL_REVIEW,HIGH_RISK_NO_CLEAR_ARCHETYPE,LOW,A full human investigation is required.,MEDIUM,30,True
